wdid,facility_name,place_county,facility_region,month,enforcement_count,total_assessment_sum,liability_sum,project_sum
6A189101N91,,,,1991-05-01,1,0.0,0.0,0.0
4B191350N01,,,,2000-06-01,1,0.0,0.0,0.0
2 019248N01,,,,1993-07-01,1,0.0,0.0,0.0
9 000483N02,,,,2002-09-01,1,0.0,0.0,0.0
908030198,,,,2002-06-01,1,0.0,0.0,0.0
4CUPA000021,,,,2000-09-01,1,0.0,0.0,0.0
6A188811N70,,,,1989-06-01,1,0.0,0.0,0.0
6A189104N50,,,,1991-05-01,1,0.0,0.0,0.0
2 21-0340,,,,1999-12-01,1,0.0,0.0,0.0
2 07-0546,,,,2001-04-01,1,0.0,0.0,0.0
6A189012N11,,,,1991-05-01,1,0.0,0.0,0.0
2 28S0032,,,,1999-07-01,1,0.0,0.0,0.0
2 283021N01,,,,1997-12-01,1,0.0,0.0,0.0
4SLIC0942,,,,2001-04-01,1,0.0,0.0,0.0
6A189104N89,,,,1991-05-01,1,0.0,0.0,0.0
2 41S0149,,,,2003-06-01,1,0.0,0.0,0.0
2 43AGT428U,,,,2002-03-01,1,0.0,0.0,0.0
4SLIC420,,,,2001-05-01,1,0.0,0.0,0.0
2 071075N01,,,,1999-07-01,1,0.0,0.0,0.0
6A189010N14,,,,1991-05-01,1,0.0,0.0,0.0
6A189102N81,,,,1991-05-01,1,0.0,0.0,0.0
4WIP1070278,,,,2003-04-01,1,0.0,0.0,0.0
H03183-001,,,,2005-02-01,1,0.0,0.0,0.0
4B191479N01,,,,2004-06-01,1,0.0,0.0,0.0
2 411538M20,,,,2013-01-01,2,0.0,0.0,0.0
6A099806N01,,,,2002-02-01,1,0.0,0.0,0.0
2 43AGT279U,,,,2002-01-01,1,0.0,0.0,0.0
2 43S0072,,,,2002-11-01,1,0.0,0.0,0.0
6A189011N72,,,,1991-05-01,1,0.0,0.0,0.0
2 07-0771,,,,2000-05-01,1,0.0,0.0,0.0
2 215145001,,,,2001-08-01,1,0.0,0.0,0.0
2 07-0126,,,,2001-10-01,1,0.0,0.0,0.0
3 400000N55,,,,1998-11-01,1,0.0,0.0,0.0
916061698,,,,2000-01-01,1,0.0,0.0,0.0
4WIP1075945,,,,2001-08-01,1,0.0,0.0,0.0
908130425,,,,1999-12-01,1,0.0,0.0,0.0
6A189103N84,,,,1991-05-01,1,0.0,0.0,0.0
8 36SM00034,,,,2006-09-01,1,0.0,0.0,0.0
2 07-0741,,,,2001-11-01,2,0.0,0.0,0.0
2 386012N01,,,,1996-05-01,1,0.0,0.0,0.0
4CUPA000237,,,,2002-05-01,1,0.0,0.0,0.0
6A189104N59,,,,1991-05-01,1,0.0,0.0,0.0
6A189104N70,,,,1991-05-01,1,0.0,0.0,0.0
2 43AGT290U,,,,2002-01-01,2,0.0,0.0,0.0
2_417216001,,,,2018-09-01,1,3000.0,3000.0,0.0
2 38AGT275U,,,,2001-10-01,2,0.0,0.0,0.0
900380361,,,,2000-01-01,1,0.0,0.0,0.0
I-01871,,,,1999-07-01,1,0.0,0.0,0.0
5A572006N01,,,,1989-02-01,1,0.0,0.0,0.0
2 01AGT104U,,,,2000-06-01,1,0.0,0.0,0.0
2 019426N01,,,,2000-08-01,1,68000.0,0.0,0.0
913350725,,,,2001-12-01,1,0.0,0.0,0.0
913350725,,,,2000-09-01,1,0.0,0.0,0.0
2 07-0507,,,,2000-05-01,1,0.0,0.0,0.0
5A312022N01,,,,1999-01-01,1,5000.0,5000.0,0.0
5A47UT00002,,,,2001-01-01,1,0.0,0.0,0.0
2 21-0366,,,,2002-08-01,1,0.0,0.0,0.0
2 438116N01,,,,1989-12-01,1,0.0,0.0,0.0
3 440000N95,,,,1999-09-01,1,600.0,600.0,0.0
2 438258N01,,,,2001-01-01,1,0.0,0.0,0.0
4B190167001,,,,2002-07-01,1,0.0,0.0,0.0
4WIP1020252,,,,1997-05-01,1,0.0,0.0,0.0
6A189102N99,,,,1991-05-01,1,0.0,0.0,0.0
7A134004N01,,,,1987-10-01,1,0.0,0.0,0.0
913030798,,,,2002-05-01,1,0.0,0.0,0.0
9 000000754,,,,2004-03-01,1,0.0,0.0,0.0
9 000000754,,,,2000-05-01,1,0.0,0.0,0.0
7A130105011,Holtville City WWTP,Imperial,7,2001-01-01,1,0.0,0.0,0.0
4A190107021,Saugus Water Reclamation Plant,Los Angeles,4,1979-07-01,1,0.0,0.0,0.0
5C16NC00014,"former AP MATTOS & SONS DAIRY #1",Kings,5F,2002-04-01,1,0.0,0.0,0.0
6A189105N03,"Haley, Russell & Opal",Lassen,6A,1997-03-01,1,0.0,0.0,0.0
1SSO10040,Klamath CSD CS,Del Norte,1,2010-07-01,1,0.0,0.0,0.0
4B198700205,Chadron Plant,Los Angeles,4,2011-07-01,1,9000.0,9000.0,0.0
1A170274CTRI,Boss,Trinity,1,2018-05-01,1,0.0,0.0,0.0
1B76213OSON,Francis Coppola Winery - Winery Waste,Sonoma,1,1985-03-01,1,0.0,0.0,0.0
5A480105002,Easterly WWTP,Solano,5S,1990-06-01,1,0.0,0.0,0.0
6A257504401,Cedarville East SWDS,Modoc,6A,2000-01-01,1,0.0,0.0,0.0
5A112016001,Knife River Construction (Baldwin Orland Plant),Glenn,5R,2006-12-01,1,0.0,0.0,0.0
3 272064003,Wilbur-Ellis Co. Soledad SS,Monterey,3,2004-01-01,1,0.0,0.0,0.0
2 07-0142,Food & Liquor,Contra Costa,2,2000-06-01,1,0.0,0.0,0.0
1SSO10014,Eureka City CS,Humboldt,1,2014-04-01,1,89122.0,46361.0,0.0
6SSO11154,Lee Vining CS,Mono,6B,2010-07-01,1,0.0,0.0,0.0
1B16346CMEN,Stoner Creek Farm,Mendocino,1,2018-05-01,1,0.0,0.0,0.0
6B140800001,MT Whitney Fish Hatchery Resid,Inyo,6B,2016-06-01,1,0.0,0.0,0.0
34016WQ14,Tract 2451 Outfall Project,San Luis Obispo,3,2018-08-01,1,0.0,0.0,0.0
7A370126001,Mccain Vly Consv CMP,San Diego,7,1987-10-01,1,0.0,0.0,0.0
4A562019005,Port Hueneme Fuel Oil Supply,Ventura,4,2000-05-01,1,0.0,0.0,0.0
6B150703001,USNWC Golf Course CL2 Recl Fac,Kern,6B,2001-06-01,1,0.0,0.0,0.0
5D102097001,Fig Garden Packing Facility,Fresno,5F,2003-06-01,1,0.0,0.0,0.0
6A189009N31,Eagle Lake,Lassen,6A,1991-05-01,1,0.0,0.0,0.0
1A84073OSIS,Yreka City WWTP,Siskiyou,1,2004-04-01,1,0.0,0.0,0.0
5C16NC00047,"Dream Dairy #1",Kings,5F,2014-05-01,1,0.0,0.0,0.0
7A361013001,Field Station Joshua Tree,San Bernardino,7,2005-01-01,1,0.0,0.0,0.0
5A521017001,Millstream MHP,Tehama,5R,2006-06-01,1,0.0,0.0,0.0
4B197500243,Former JAB Holdings Inc.,Los Angeles,4,2013-01-01,1,3000.0,3000.0,0.0
9 000000777,Padre Dam CS,San Diego,9,2000-05-01,1,0.0,0.0,0.0
5A312000001,Bear River Aggregates - Meadow Vista Quarry,Placer,5S,2006-09-01,1,0.0,0.0,0.0
5A582018002,Goldfields Aggregate Pit,Yuba,5S,2003-06-01,1,0.0,0.0,0.0
7A361212001,Valley View MHP,San Bernardino,7,2003-01-01,1,0.0,0.0,0.0
3 401062002,MESA MIDDLE SCHOOL Onsite WW Treatment System,San Luis Obispo,3,2007-01-01,1,0.0,0.0,0.0
4B198700205,Chadron Plant,Los Angeles,4,2015-06-01,1,9000.0,9000.0,0.0
5C221012001,Mariposa WWTP,Mariposa,5F,2011-04-01,1,0.0,0.0,0.0
5A29NP00013,Borehole Seep Project,Nevada,5S,2018-12-01,1,0.0,0.0,0.0
7A370121021,Agua Caliente Reg Pk,San Diego,7,2005-01-01,1,0.0,0.0,0.0
3 402018001,Broken Earth Winery,San Luis Obispo,3,2018-09-01,1,0.0,0.0,0.0
7A361042012,Twentynine Palms High,San Bernardino,7,2004-01-01,1,0.0,0.0,0.0
7A370121021,Agua Caliente Reg Pk,San Diego,7,2006-04-01,1,0.0,0.0,0.0
5A480105002,Easterly WWTP,Solano,5S,2000-09-01,1,0.0,0.0,0.0
9 000000777,Padre Dam CS,San Diego,9,2004-03-01,1,0.0,0.0,0.0
7A331045001,Palm View Estates,Riverside,7,2007-01-01,1,0.0,0.0,0.0
9 000000246,San Diego Zoo's Safari Park,San Diego,9,2006-07-01,1,0.0,0.0,0.0
5B070101001,Brentwood WWTP,Contra Costa,5S,2010-08-01,1,0.0,0.0,0.0
5A480105002,Easterly WWTP,Solano,5S,2001-06-01,1,0.0,0.0,0.0
5A480105002,Easterly WWTP,Solano,5S,2010-02-01,1,0.0,0.0,0.0
7A130105011,Holtville City WWTP,Imperial,7,2004-11-01,1,0.0,0.0,0.0
5B070101001,Brentwood WWTP,Contra Costa,5S,2011-05-01,1,0.0,0.0,0.0
9 000000730,North City WRP,San Diego,9,2011-02-01,1,0.0,0.0,0.0
9 000000730,North City WRP,San Diego,9,2012-08-01,1,0.0,0.0,0.0
5B070101001,Brentwood WWTP,Contra Costa,5S,2013-07-01,1,0.0,0.0,0.0
7A130105011,Holtville City WWTP,Imperial,7,2008-02-01,2,0.0,0.0,0.0
7A130105011,Holtville City WWTP,Imperial,7,2015-02-01,1,0.0,0.0,0.0
6B159301002,Arciero Ranches,Kern,6B,2000-08-01,1,0.0,0.0,0.0
5A172016001,Kendall Jackson Wine Estates,Lake,5S,1999-07-01,1,0.0,0.0,0.0
9 S11091804,SR 905 at Siempra Viva,NA,9,2004-12-01,1,0.0,0.0,0.0
9 000000752,City of La Mesa CS,San Diego,9,1998-06-01,1,0.0,0.0,0.0
1SSO11419,Humboldt CSD CS,Humboldt,1,2008-12-01,1,25000.0,10000.0,0.0
5SSO11241,Pixley CS,Tulare,5F,2012-04-01,1,0.0,0.0,0.0
4A567000130,"Monica Ros School, Inc",Ventura,4,2013-07-01,1,0.0,0.0,0.0
1B171349CMEN,Anthony Pitts,Mendocino,1,2018-05-01,1,0.0,0.0,0.0
1B171259CMEN,Nancy Ippolito,Mendocino,1,2018-05-01,1,0.0,0.0,0.0
5A060103001,Williams WWTP,Colusa,5S,2002-01-01,1,0.0,0.0,0.0
5D152011002,American Yeast Corp Reclamation Site,Kern,5F,2000-03-01,1,0.0,0.0,0.0
5D165150N01,Clarence Dutra Dairy,Kings,5F,2000-04-01,1,0.0,0.0,0.0
6B368070N31,"Main, Barstow Shell Station",San Bernardino,6B,1988-08-01,1,0.0,0.0,0.0
7A361042003,Morongo Valley Elem,San Bernardino,7,2000-01-01,1,0.0,0.0,0.0
3 400104005,2585 Bay Vista Lane,San Luis Obispo,3,2005-03-01,1,0.0,0.0,0.0
4A197000024,Sweetwater Veterinary Clinic,Los Angeles,4,2012-08-01,1,0.0,0.0,0.0
9SSO10691,City of San Clemente CS,Orange,9,2009-12-01,1,0.0,0.0,0.0
6SSO11111,Northstar Community Svcs Dist CS,Nevada,6A,2008-10-01,1,0.0,0.0,0.0
5A471002001,Doctors Park,Siskiyou,5R,2006-11-01,3,0.0,0.0,0.0
9000001936,San Diego Yacht Club Repair Project,San Diego,9,2015-04-01,1,0.0,0.0,0.0
4B190308006,BKK Class III Landfill,Los Angeles,4,2004-09-01,1,0.0,0.0,0.0
5A172016001,Kendall Jackson Wine Estates,Lake,5S,2003-09-01,1,0.0,0.0,0.0
5D545111001,Mountain View Dairy,Tulare,5F,2014-07-01,1,0.0,0.0,0.0
5A291012001,Forest Springs WWTF,Nevada,5S,2008-12-01,1,0.0,0.0,0.0
4B197500286,Snyder 959 Seward LLC,Los Angeles,4,2013-11-01,1,0.0,0.0,0.0
3SSO10329,Santa Lucia Csd CS,Monterey,3,2014-08-01,1,0.0,0.0,0.0
5A040804002,Thermalito Annex Hatchery,Butte,5R,2003-05-01,1,0.0,0.0,0.0
5D150303021,Lebec Sanitary Landfill,Kern,5F,2008-06-01,1,0.0,0.0,0.0
5C54NC00016,Tipton Dairy,Tulare,5F,2013-10-01,1,0.0,0.0,0.0
R-25782,Walt's Tow,Los Angeles,4,2001-03-01,1,0.0,0.0,0.0
5A290104006,Penn Valley WWTP,Nevada,5S,2009-08-01,1,0.0,0.0,0.0
4B190314001,Claremont Landfill,Los Angeles,4,2003-11-01,1,0.0,0.0,0.0
5C502029001,Thunderbolt Wood Treating Class II Surface Impoundment,Stanislaus,5S,2004-10-01,1,0.0,0.0,0.0
7A331044002,Rancho Mirage Elem 97-500136,Riverside,7,2002-02-01,1,0.0,0.0,0.0
9 000000752,City of La Mesa CS,San Diego,9,2000-08-01,1,0.0,0.0,0.0
1B80121OHUM,"College of the Redwoods, POTW",Humboldt,1,2001-05-01,1,0.0,0.0,0.0
6B149411001,Briggs Mine Project,Inyo,6B,2003-11-01,1,0.0,0.0,0.0
9 000066N91,NA,NA,NA,1991-01-01,1,0.0,0.0,0.0
5D151170001,Wonderful Pistachios & Almonds King Facility,Kern,5F,2004-11-01,1,0.0,0.0,0.0
5B05NC00015,Hay Station Ranch,Calaveras,5S,2017-02-01,1,0.0,0.0,0.0
5A571009001,D-Q University WWTF,Yolo,5S,2012-05-01,1,0.0,0.0,0.0
9 000000752,City of La Mesa CS,San Diego,9,2001-11-01,2,0.0,0.0,0.0
7A330800021,Cactus City Rdsde,Riverside,7,2004-11-01,1,0.0,0.0,0.0
5B031010001,CSA 3-Lake Camanche WWTP,Amador,5S,2001-02-01,1,0.0,0.0,0.0
4B190308006,BKK Class III Landfill,Los Angeles,4,2007-05-01,1,0.0,0.0,0.0
5C242018001,Hilmar Cheese Processing Plant,Merced,5F,2004-12-01,1,0.0,0.0,0.0
8 360304027,Yucaipa Landfill-Inactive,San Bernardino,8,1999-12-01,3,0.0,0.0,0.0
3 40MS05104,Grover Beach Municipal SW,San Luis Obispo,3,2014-04-01,1,35000.0,35000.0,0.0
5A060103001,Williams WWTP,Colusa,5S,1999-10-01,1,0.0,0.0,0.0
5A320300002,Chester Class III Landfill,Plumas,5R,2002-08-01,1,0.0,0.0,0.0
