wdid,facility_name,region,county,place_type,year,ml_risk_score,ml_risk_pct,ml_percentile,total_actions_24mo,avg_severity_24mo,total_outstanding,monetary_rate_24mo,escalation_ratio
5A060101001,City of Colusa WWTP,5S,Colusa,Wastewater Treatment Facility,2017,0.20638851759769627,20.6,92.8,5,3.8,0.0,0.2,1.0
4A561058001,Pneumo Abex Aerospace Corp.,4,Ventura,Facility,2001,0.20514734395481346,20.5,92.7,3,4.0,0.0,0.3333333333333333,1.0
9SSO10652,City of La Mesa CS,9,San Diego,Collection_System,2014,0.2026776651640166,20.3,92.7,6,2.8333333333333335,387606.0,0.16666666666666666,1.0
5D100105001,Fresno Regional WWTF,5F,Fresno,Wastewater Treatment Facility,2003,0.20267185832601112,20.3,92.6,3,4.333333333333333,0.0,0.3333333333333333,1.0
5C552016001,Atlas Business Park,5F,Tuolumne,Wastewater Treatment Facility,2002,0.20259851354698535,20.3,92.5,6,2.6666666666666665,0.0,0.16666666666666666,1.0
5B340101001,Galt WWTP & Reclamation Facility,5S,Sacramento,Wastewater Treatment Facility,2017,0.20234194063294936,20.2,92.5,5,3.8,0.0,0.2,1.0
5A480108001,Northwest WWTF,5S,Solano,Wastewater Treatment Facility,2017,0.20213389425788836,20.2,92.4,5,3.8,0.0,0.2,1.0
3 350100002,Hollister Industrial WWTP,3,San Benito,Wastewater Treatment Facility,2004,0.19922016722002436,19.9,92.3,5,3.4,0.0,0.2,1.0
5A049001001,Table Mountain Quarry,5R,Butte,Sand and Gravel Mining,2005,0.1990601124397706,19.9,92.3,5,4.0,0.0,0.2,1.0
5B390103002,White Slough Water Pollution Control Facility,5S,San Joaquin,Wastewater Treatment Facility,2015,0.1981492060340755,19.8,92.2,7,4.066666666666666,0.0,0.2857142857142857,1.0
5A340114001,Sac City Combined WW Collection/TRT Sys,5S,Sacramento,Wastewater Treatment Facility,2017,0.1979863758331156,19.8,92.2,3,4.333333333333333,0.0,0.3333333333333333,1.0
6A099806N01,Tahoe Tom's Gasoline Station,6A,0,Manufacturing,2002,0.19486525340981034,19.5,92.1,4,4.666666666666667,0.0,0.75,1.0
2 071059001,USS-UPI LLC - NPDES/SUB15,2,Contra Costa,Wastewater Treatment Facility,2002,0.19381311316199076,19.4,92.0,6,3.0,0.0,0.3333333333333333,1.0
