wdid,facility_name,region,county,theme,theme_count,avg_severity_rank,total_assessment,theme_rank_within_facility
5A112004001,Sierra Nevada Cheese Processing Plant,5R,Glenn,Monitoring deficiency,3,2.67,0.0,2
5A112004001,Sierra Nevada Cheese Processing Plant,5R,Glenn,Reporting / SMR failure,2,3.0,0.0,3
5A112004001,Sierra Nevada Cheese Processing Plant,5R,Glenn,O&M / operations,1,3.0,0.0,4
5A11NC00018,Chris Verboom Dairy,5S,Glenn,Financial / ACL,1,3.0,0.0,1
5A11NC00018,Chris Verboom Dairy,5S,Glenn,O&M / operations,1,3.0,0.0,2
5A11NC00018,Chris Verboom Dairy,5S,Glenn,Permit conditions,1,3.0,0.0,3
5A11NC00018,Chris Verboom Dairy,5S,Glenn,Spill / overflow,1,3.0,0.0,4
5A11NC00049,Boer Dairy/ M&H Jerseys,5S,Glenn,O&M / operations,1,3.0,0.0,1
5A11NC00049,Boer Dairy/ M&H Jerseys,5S,Glenn,Monitoring deficiency,1,3.0,0.0,2
5A257002N01,"Chevron SS #9-9270 Alturas",5R,,Reporting / SMR failure,2,2.5,0.0,1
5A257002N01,"Chevron SS #9-9270 Alturas",5R,,Monitoring deficiency,1,3.0,0.0,2
5A257002N01,"Chevron SS #9-9270 Alturas",5R,,Groundwater / soil contamination,1,3.0,0.0,3
5A25IR00001,Rene Larranaga,5S,Modoc,Financial / ACL,1,7.0,19773.0,1
5A25IR00001,Rene Larranaga,5S,Modoc,Spill / overflow,1,7.0,19773.0,2
5A25IR00001,Rene Larranaga,5S,Modoc,Reporting / SMR failure,1,7.0,19773.0,3
5A290107002,Cascade Shores WWTP,5S,Nevada,Permit conditions,19,3.79,483000.0,1
5A290107002,Cascade Shores WWTP,5S,Nevada,Spill / overflow,17,3.76,483000.0,2
5A290107002,Cascade Shores WWTP,5S,Nevada,Reporting / SMR failure,15,3.33,0.0,3
5A290107002,Cascade Shores WWTP,5S,Nevada,Effluent exceedance,14,4.5,567000.0,4
5A290107002,Cascade Shores WWTP,5S,Nevada,Monitoring deficiency,11,2.91,0.0,5
5A290107002,Cascade Shores WWTP,5S,Nevada,Financial / ACL,5,7.0,567000.0,6
5A290107002,Cascade Shores WWTP,5S,Nevada,Groundwater / soil contamination,1,5.0,0.0,7
5A291011001,Grass Valley Mobile Home Village,5S,Nevada,Spill / overflow,3,2.67,0.0,1
5A291011001,Grass Valley Mobile Home Village,5S,Nevada,Permit conditions,2,3.0,0.0,2
5A291011001,Grass Valley Mobile Home Village,5S,Nevada,Reporting / SMR failure,2,2.5,0.0,3
5A291011001,Grass Valley Mobile Home Village,5S,Nevada,Monitoring deficiency,2,2.5,0.0,4
5A291011001,Grass Valley Mobile Home Village,5S,Nevada,Effluent exceedance,1,3.0,0.0,5
5A29NP00006,Empire Mine State Historic Park,5S,Nevada,Monitoring deficiency,11,3.36,45000.0,1
5A29NP00006,Empire Mine State Historic Park,5S,Nevada,Reporting / SMR failure,10,3.4,45000.0,2
5A29NP00006,Empire Mine State Historic Park,5S,Nevada,Permit conditions,9,3.44,84000.0,3
5A29NP00006,Empire Mine State Historic Park,5S,Nevada,Spill / overflow,9,3.0,0.0,4
5A29NP00006,Empire Mine State Historic Park,5S,Nevada,Effluent exceedance,7,5.86,726000.0,5
5A29NP00006,Empire Mine State Historic Park,5S,Nevada,Financial / ACL,5,7.0,726000.0,6
5A310103001,Newcastle STP,5S,Placer,Spill / overflow,10,2.6,5000.0,1
5A310103001,Newcastle STP,5S,Placer,Reporting / SMR failure,4,1.5,0.0,2
5A310103001,Newcastle STP,5S,Placer,O&M / operations,2,4.0,5000.0,3
5A310103001,Newcastle STP,5S,Placer,Effluent exceedance,1,1.0,0.0,4
5A310103001,Newcastle STP,5S,Placer,Permit conditions,1,7.0,5000.0,5
5A310103001,Newcastle STP,5S,Placer,Financial / ACL,1,7.0,5000.0,6
5A311008001,Cisco Grove Chevron,5S,Placer,Reporting / SMR failure,3,2.0,0.0,1
5A311008001,Cisco Grove Chevron,5S,Placer,Spill / overflow,2,1.5,0.0,2
5A311008001,Cisco Grove Chevron,5S,Placer,Monitoring deficiency,1,3.0,0.0,3
5A311009001,Auburn Valley CSD WWTF,5S,Placer,Spill / overflow,6,3.0,0.0,1
5A311009001,Auburn Valley CSD WWTF,5S,Placer,Reporting / SMR failure,4,3.5,0.0,2
5A311009001,Auburn Valley CSD WWTF,5S,Placer,Groundwater / soil contamination,3,3.67,0.0,3
5A311009001,Auburn Valley CSD WWTF,5S,Placer,Monitoring deficiency,3,2.33,0.0,4
5A311009001,Auburn Valley CSD WWTF,5S,Placer,Permit conditions,2,4.0,0.0,5
5A311009001,Auburn Valley CSD WWTF,5S,Placer,O&M / operations,1,3.0,0.0,6
5A311009001,Auburn Valley CSD WWTF,5S,Placer,Effluent exceedance,1,3.0,0.0,7
5A312038001,Lincoln Mill Site,5S,Placer,Reporting / SMR failure,1,1.0,0.0,1
5A312038001,Lincoln Mill Site,5S,Placer,Permit conditions,1,3.0,0.0,2
5A312038001,Lincoln Mill Site,5S,Placer,Spill / overflow,1,3.0,0.0,3
5A320704003,Walker Mine Tailings,5S,Plumas,Reporting / SMR failure,2,3.0,0.0,1
5A320704003,Walker Mine Tailings,5S,Plumas,Monitoring deficiency,2,3.0,0.0,2
5A320704003,Walker Mine Tailings,5S,Plumas,Spill / overflow,1,5.0,0.0,3
5A321000001,Belden Town Resort,5R,Plumas,Reporting / SMR failure,2,5.0,125.0,1
5A340114001,Sac City Combined WW Collection/TRT Sys,5S,Sacramento,Reporting / SMR failure,9,3.44,0.0,1
5A340114001,Sac City Combined WW Collection/TRT Sys,5S,Sacramento,Permit conditions,9,3.22,0.0,2
5A340114001,Sac City Combined WW Collection/TRT Sys,5S,Sacramento,Spill / overflow,6,4.67,403000.0,3
5A340114001,Sac City Combined WW Collection/TRT Sys,5S,Sacramento,Financial / ACL,3,7.0,15000.0,4
5A340114001,Sac City Combined WW Collection/TRT Sys,5S,Sacramento,Effluent exceedance,3,7.0,15000.0,5
5A340114001,Sac City Combined WW Collection/TRT Sys,5S,Sacramento,Monitoring deficiency,3,3.0,0.0,6
5A342005N01,Chevron Bulk Fuel Terminal 100-1620,5S,,Permit conditions,1,5.0,0.0,1
5A342020N01,Rancho Cordova Test Site,5S,,Groundwater / soil contamination,1,5.0,0.0,1
5A342027001,Grantline Plant,5S,Sacramento,Reporting / SMR failure,2,2.0,0.0,1
5A342027001,Grantline Plant,5S,Sacramento,Spill / overflow,2,2.0,0.0,2
5A342027001,Grantline Plant,5S,Sacramento,Monitoring deficiency,1,3.0,0.0,3
5A34NC00019,Grand Island Winery,5S,Sacramento,Reporting / SMR failure,1,2.0,0.0,1
5A34NC00019,Grand Island Winery,5S,Sacramento,Monitoring deficiency,1,2.0,0.0,2
5A34NC00022,Sacramento River WTP,5S,Sacramento,Reporting / SMR failure,1,3.0,0.0,1
5A34NP00031,Sacramento Suburban WD Project,5S,Sacramento,Effluent exceedance,2,5.0,42000.0,1
5A34NP00031,Sacramento Suburban WD Project,5S,Sacramento,Permit conditions,1,3.0,0.0,2
5A34NP00031,Sacramento Suburban WD Project,5S,Sacramento,Financial / ACL,1,7.0,42000.0,3
5A34NP00031,Sacramento Suburban WD Project,5S,Sacramento,Reporting / SMR failure,1,3.0,0.0,4
5A34NP00031,Sacramento Suburban WD Project,5S,Sacramento,Spill / overflow,1,3.0,0.0,5
5A34NP00046,Rio Linda/Eleverta Community Water District Drinking Water Well Project,5S,Sacramento,Reporting / SMR failure,1,3.0,0.0,1
5A34NP00046,Rio Linda/Eleverta Community Water District Drinking Water Well Project,5S,Sacramento,Monitoring deficiency,1,3.0,0.0,2
5A450001003,Alpine Meadows/Whispering Wood,5R,Shasta,Monitoring deficiency,1,2.0,0.0,1
5A450001003,Alpine Meadows/Whispering Wood,5R,Shasta,Reporting / SMR failure,1,2.0,0.0,2
5A450103005,Buckeye WTP,5R,Shasta,Monitoring deficiency,1,2.0,0.0,1
5A450103005,Buckeye WTP,5R,Shasta,Reporting / SMR failure,1,2.0,0.0,2
5A450114001,Bella Vista WTP,5R,Shasta,Permit conditions,2,5.0,0.0,1
5A450114001,Bella Vista WTP,5R,Shasta,Reporting / SMR failure,2,2.0,0.0,2
5A450114001,Bella Vista WTP,5R,Shasta,Spill / overflow,1,5.0,0.0,3
5A450114001,Bella Vista WTP,5R,Shasta,O&M / operations,1,5.0,0.0,4
5A450803002,Darrah Springs Hatchery,5R,Tehama,Spill / overflow,1,5.0,0.0,1
5A450803002,Darrah Springs Hatchery,5R,Tehama,O&M / operations,1,5.0,0.0,2
5A450803002,Darrah Springs Hatchery,5R,Tehama,Permit conditions,1,5.0,0.0,3
5A451011001,Holiday Harbor Inc,5R,Shasta,Monitoring deficiency,3,2.33,0.0,1
5A451011001,Holiday Harbor Inc,5R,Shasta,O&M / operations,2,2.0,0.0,2
5A451011001,Holiday Harbor Inc,5R,Shasta,Reporting / SMR failure,1,3.0,0.0,3
5A451012001,Jones Valley Resort,5R,Shasta,Reporting / SMR failure,3,2.0,0.0,1
5A451012001,Jones Valley Resort,5R,Shasta,Monitoring deficiency,2,2.0,0.0,2
5A452033001,"Shasta-Sustainable Resource Management, Inc.",5R,Shasta,Effluent exceedance,5,1.8,0.0,1
5A452033001,"Shasta-Sustainable Resource Management, Inc.",5R,Shasta,Spill / overflow,4,2.0,0.0,2
5A452033001,"Shasta-Sustainable Resource Management, Inc.",5R,Shasta,Permit conditions,4,1.5,0.0,3
5A452033001,"Shasta-Sustainable Resource Management, Inc.",5R,Shasta,Reporting / SMR failure,3,1.33,0.0,4
5A452033001,"Shasta-Sustainable Resource Management, Inc.",5R,Shasta,Monitoring deficiency,2,1.0,0.0,5
5A452033001,"Shasta-Sustainable Resource Management, Inc.",5R,Shasta,O&M / operations,1,1.0,0.0,6
5A452037001,Millseat Facility,5R,Shasta,Spill / overflow,1,1.0,0.0,1
5A452037001,Millseat Facility,5R,Shasta,Reporting / SMR failure,1,2.0,0.0,2
5A452037001,Millseat Facility,5R,Shasta,Monitoring deficiency,1,1.0,0.0,3
5A45CR00359,Redding Veterans Homes Project,5R,Shasta,Effluent exceedance,1,3.0,0.0,1
5A45CR00359,Redding Veterans Homes Project,5R,Shasta,Spill / overflow,1,3.0,0.0,2
5A45NP00015,ACID Canal,5R,,Reporting / SMR failure,1,3.0,0.0,1
5A45NP00015,ACID Canal,5R,,Spill / overflow,1,3.0,0.0,2
5A45NP00015,ACID Canal,5R,,Permit conditions,1,3.0,0.0,3
5A45UR00012,Foothill Water Treatment Plant,5R,Shasta,Effluent exceedance,1,3.0,0.0,1
5A45UR00012,Foothill Water Treatment Plant,5R,Shasta,Financial / ACL,1,7.0,16000.0,2
5A45UR00012,Foothill Water Treatment Plant,5R,Shasta,O&M / operations,1,3.0,0.0,3
5A45UR00012,Foothill Water Treatment Plant,5R,Shasta,Spill / overflow,1,3.0,0.0,4
5A462003001,Brush Creek Mine,5S,Sierra,Groundwater / soil contamination,1,5.0,0.0,1
5A462003001,Brush Creek Mine,5S,Sierra,Spill / overflow,1,1.0,0.0,2
5A462003001,Brush Creek Mine,5S,Sierra,O&M / operations,1,5.0,0.0,3
5A462031001,Joubert Pit Placer Company,5S,Sierra,Reporting / SMR failure,4,2.75,0.0,1
5A462031001,Joubert Pit Placer Company,5S,Sierra,Monitoring deficiency,2,2.5,0.0,2
5A462031001,Joubert Pit Placer Company,5S,Sierra,Permit conditions,1,3.0,0.0,3
5A46SC00016,Pioneer Pit Mine,5S,Sierra,Spill / overflow,1,5.0,0.0,1
5A46SC00016,Pioneer Pit Mine,5S,Sierra,O&M / operations,1,5.0,0.0,2
5A46SC00016,Pioneer Pit Mine,5S,Sierra,Reporting / SMR failure,1,5.0,0.0,3
5A470803001,Mount Shasta Fish Hatchery,5R,Siskiyou,Spill / overflow,3,2.33,0.0,1
5A470803001,Mount Shasta Fish Hatchery,5R,Siskiyou,Monitoring deficiency,1,1.0,0.0,2
5A470803001,Mount Shasta Fish Hatchery,5R,Siskiyou,Permit conditions,1,5.0,0.0,3
5A470803001,Mount Shasta Fish Hatchery,5R,Siskiyou,O&M / operations,1,5.0,0.0,4
5A470803001,Mount Shasta Fish Hatchery,5R,Siskiyou,Reporting / SMR failure,1,1.0,0.0,5
5A472008001,Railroad Park Resort,5R,Siskiyou,Monitoring deficiency,2,2.5,0.0,1
5A472008001,Railroad Park Resort,5R,Siskiyou,Reporting / SMR failure,2,2.5,0.0,2
5A472008001,Railroad Park Resort,5R,Siskiyou,Spill / overflow,1,2.0,0.0,3
5A47UT00001,Reginato's Mini Mart,5R,Siskiyou,Reporting / SMR failure,1,2.0,0.0,1
5A480101001,Dixon WWTF,5S,Solano,Permit conditions,4,5.5,220000.0,1
5A480101001,Dixon WWTF,5S,Solano,Spill / overflow,3,5.0,0.0,2
5A480101001,Dixon WWTF,5S,Solano,Groundwater / soil contamination,1,5.0,0.0,3
5A480101001,Dixon WWTF,5S,Solano,Reporting / SMR failure,1,3.0,0.0,4
5A480101001,Dixon WWTF,5S,Solano,Effluent exceedance,1,5.0,0.0,5
5A480101001,Dixon WWTF,5S,Solano,Financial / ACL,1,7.0,220000.0,6
5A480104001,Beach WWTF,5S,Solano,Effluent exceedance,23,3.26,420000.0,1
5A480104001,Beach WWTF,5S,Solano,Reporting / SMR failure,20,2.4,33000.0,2
5A480104001,Beach WWTF,5S,Solano,Monitoring deficiency,14,2.14,3000.0,3
5A480104001,Beach WWTF,5S,Solano,Permit conditions,13,4.23,432000.0,4
5A480104001,Beach WWTF,5S,Solano,Spill / overflow,11,4.09,402000.0,5
5A480104001,Beach WWTF,5S,Solano,Financial / ACL,10,5.8,450000.0,6
5A480104001,Beach WWTF,5S,Solano,O&M / operations,2,1.0,0.0,7
5A480104001,Beach WWTF,5S,Solano,Groundwater / soil contamination,1,1.0,0.0,8
5A48NP00011,Rural North Vacaville District (2 GW Wells),5S,Solano,Reporting / SMR failure,1,1.0,0.0,1
5A48NP00011,Rural North Vacaville District (2 GW Wells),5S,Solano,Spill / overflow,1,1.0,0.0,2
5A48NP00011,Rural North Vacaville District (2 GW Wells),5S,Solano,Monitoring deficiency,1,1.0,0.0,3
5A521019001,Berrendos CSD Treatment System,5R,Tehama,Reporting / SMR failure,6,1.83,0.0,1
5A521019001,Berrendos CSD Treatment System,5R,Tehama,Spill / overflow,4,1.75,0.0,2
5A521019001,Berrendos CSD Treatment System,5R,Tehama,Monitoring deficiency,4,1.75,0.0,3
5A521019001,Berrendos CSD Treatment System,5R,Tehama,Permit conditions,2,2.0,0.0,4
5A521019001,Berrendos CSD Treatment System,5R,Tehama,Effluent exceedance,2,1.5,0.0,5
5A522001004,Reynolds Molded Pulp Mill,5R,Tehama,Effluent exceedance,3,4.0,3000.0,1
5A522001004,Reynolds Molded Pulp Mill,5R,Tehama,Permit conditions,2,2.5,0.0,2
5A522001004,Reynolds Molded Pulp Mill,5R,Tehama,Spill / overflow,2,1.0,0.0,3
5A522001004,Reynolds Molded Pulp Mill,5R,Tehama,Reporting / SMR failure,2,1.5,0.0,4
5A522001004,Reynolds Molded Pulp Mill,5R,Tehama,Monitoring deficiency,1,1.0,0.0,5
5A522001004,Reynolds Molded Pulp Mill,5R,Tehama,Financial / ACL,1,7.0,3000.0,6
5A522019001,Bell Carter Plant 1,5R,Tehama,Spill / overflow,3,2.33,0.0,1
5A522019001,Bell Carter Plant 1,5R,Tehama,Reporting / SMR failure,1,1.0,0.0,2
5A522019001,Bell Carter Plant 1,5R,Tehama,Effluent exceedance,1,3.0,0.0,3
5A522022001,Antelope Service Center,5R,Tehama,Spill / overflow,5,2.0,0.0,1
5A522022001,Antelope Service Center,5R,Tehama,Monitoring deficiency,5,1.8,0.0,2
5A522022001,Antelope Service Center,5R,Tehama,Reporting / SMR failure,4,2.0,0.0,3
5A522022001,Antelope Service Center,5R,Tehama,Groundwater / soil contamination,1,2.0,0.0,4
5A522022001,Antelope Service Center,5R,Tehama,Effluent exceedance,1,2.0,0.0,5
5A52NC00017,Friendly Acres MHP Sewage Overflow,5R,,Reporting / SMR failure,1,2.0,0.0,1
5A52NC00017,Friendly Acres MHP Sewage Overflow,5R,,Spill / overflow,1,2.0,0.0,2
5A572016001,Syar Madison Plant,5S,Yolo,Reporting / SMR failure,2,3.0,0.0,1
5A572016001,Syar Madison Plant,5S,Yolo,Monitoring deficiency,1,3.0,0.0,2
5A572016001,Syar Madison Plant,5S,Yolo,Permit conditions,1,3.0,0.0,3
5A572016001,Syar Madison Plant,5S,Yolo,O&M / operations,1,3.0,0.0,4
5A572087001,Winters Dryer Facility,5S,Yolo,O&M / operations,1,1.0,0.0,1
5A572087001,Winters Dryer Facility,5S,Yolo,Spill / overflow,1,1.0,0.0,2
5A575015N01,Courtland Facility,5S,,Groundwater / soil contamination,1,5.0,0.0,1
5A57NC00025,Bariani Olive Oil,5S,Yolo,Spill / overflow,1,3.0,0.0,1
5A57NC00025,Bariani Olive Oil,5S,Yolo,Permit conditions,1,3.0,0.0,2
5A580300001,Yuba-Sutter Disposal Area,5S,Yuba,Permit conditions,3,5.67,15000.0,1
5A580300001,Yuba-Sutter Disposal Area,5S,Yuba,Reporting / SMR failure,2,6.0,15000.0,2
5A580300001,Yuba-Sutter Disposal Area,5S,Yuba,Spill / overflow,2,6.0,15000.0,3
5A580300001,Yuba-Sutter Disposal Area,5S,Yuba,Financial / ACL,1,7.0,15000.0,4
5B032000003,Sierra Pacific Industries - Martell Division,5S,Amador,Reporting / SMR failure,15,2.4,0.0,1
5B032000003,Sierra Pacific Industries - Martell Division,5S,Amador,Spill / overflow,9,2.67,0.0,2
5B032000003,Sierra Pacific Industries - Martell Division,5S,Amador,Monitoring deficiency,8,2.5,0.0,3
5B032000003,Sierra Pacific Industries - Martell Division,5S,Amador,Permit conditions,7,2.71,0.0,4
5B032000003,Sierra Pacific Industries - Martell Division,5S,Amador,O&M / operations,2,2.5,0.0,5
5B032000003,Sierra Pacific Industries - Martell Division,5S,Amador,Effluent exceedance,1,3.0,0.0,6
5B032000003,Sierra Pacific Industries - Martell Division,5S,Amador,Groundwater / soil contamination,1,3.0,0.0,7
5B032003002,Newton Mine,5S,,Permit conditions,1,5.0,0.0,1
5B032003002,Newton Mine,5S,,Spill / overflow,1,5.0,0.0,2
5B032007001,"Buena Vista Biomass Power, LLC",5S,Amador,Reporting / SMR failure,4,3.5,0.0,1
5B032007001,"Buena Vista Biomass Power, LLC",5S,Amador,Monitoring deficiency,2,4.5,0.0,2
5B032007001,"Buena Vista Biomass Power, LLC",5S,Amador,Permit conditions,1,2.0,0.0,3
5B050107007,Wallace Lake Estates WWTF,5S,Calaveras,Spill / overflow,1,3.0,0.0,1
5B050107007,Wallace Lake Estates WWTF,5S,Calaveras,Effluent exceedance,1,3.0,0.0,2
5B050107007,Wallace Lake Estates WWTF,5S,Calaveras,Monitoring deficiency,1,3.0,0.0,3
5B05NP00001,Copper Cove WWRF,5S,Calaveras,Spill / overflow,8,3.0,0.0,1
5B05NP00001,Copper Cove WWRF,5S,Calaveras,Reporting / SMR failure,7,3.0,0.0,2
5B05NP00001,Copper Cove WWRF,5S,Calaveras,Permit conditions,7,3.0,0.0,3
5B05NP00001,Copper Cove WWRF,5S,Calaveras,Monitoring deficiency,7,3.0,0.0,4
5B05NP00001,Copper Cove WWRF,5S,Calaveras,Effluent exceedance,5,3.8,48000.0,5
5B05NP00001,Copper Cove WWRF,5S,Calaveras,Financial / ACL,2,5.0,48000.0,6
5B05NP00001,Copper Cove WWRF,5S,Calaveras,Groundwater / soil contamination,1,3.0,0.0,7
5B05NP00007,Angels City WWTP,5S,Calaveras,Permit conditions,6,3.0,0.0,1
5B05NP00007,Angels City WWTP,5S,Calaveras,Monitoring deficiency,5,3.0,0.0,2
5B05NP00007,Angels City WWTP,5S,Calaveras,Reporting / SMR failure,5,3.0,0.0,3
5B05NP00007,Angels City WWTP,5S,Calaveras,Spill / overflow,3,3.0,0.0,4
5B05NP00007,Angels City WWTP,5S,Calaveras,Effluent exceedance,1,3.0,0.0,5
5B05NP00011,Carson Hill Gold Mine Project,5S,Calaveras,Effluent exceedance,1,7.0,3000.0,1
5B05NP00011,Carson Hill Gold Mine Project,5S,Calaveras,Monitoring deficiency,1,7.0,3000.0,2
5B05NP00011,Carson Hill Gold Mine Project,5S,Calaveras,Financial / ACL,1,7.0,3000.0,3
5B05NP00011,Carson Hill Gold Mine Project,5S,Calaveras,Reporting / SMR failure,1,7.0,3000.0,4
5B05NP00013,Tanwood Manufactuing Housing Community,5S,Calaveras,Reporting / SMR failure,3,2.33,0.0,1
5B05NP00013,Tanwood Manufactuing Housing Community,5S,Calaveras,Monitoring deficiency,3,2.33,0.0,2
5B070301002,GBF/Pittsburg LF,5S,Contra Costa,Reporting / SMR failure,4,2.0,0.0,1
5B070301002,GBF/Pittsburg LF,5S,Contra Costa,Monitoring deficiency,2,2.0,0.0,2
5B070301002,GBF/Pittsburg LF,5S,Contra Costa,Permit conditions,1,5.0,0.0,3
5B07NP00021,Emerson Ranch Construction Project,5S,Contra Costa,Spill / overflow,1,7.0,21000.0,1
5B07NP00021,Emerson Ranch Construction Project,5S,Contra Costa,Effluent exceedance,1,7.0,21000.0,2
5B07NP00021,Emerson Ranch Construction Project,5S,Contra Costa,Financial / ACL,1,7.0,21000.0,3
